N,R,D,GPU,Network,Approach,transfer_NxN,matmul_NxN,matmul_NxN_x_Nx1,matmul_RxN_x_NxN,inverse_NxN,transfer_Nx1,transfer_RxN,addition_NxN,addition_Nx1,addition_RxN,randgen_NxN,randgen_Nx1,decentralized_protocol,total_time
5000,500,10,H200,Residential,floating-point,16.03,0.0046604706440120935,0.00011872624357541402,0.0005199133108059565,0.02783253937959671,0.0332,1.6300000000000001,0.000290470818678538,5.8094163735707605e-08,4.6075632174809776e-05,0.0006802253425121308,0.0006802253425121308,2.8373746679738767,102.4392419436155
5000,500,10,H200,Residential,fixed-point,16.03,0.05255666766315699,0.0034104585647583008,0.008230850100517273,0.02783253937959671,0.0332,1.6300000000000001,0.00029011381169160205,5.802276233832041e-08,4.5643498500188194e-05,0.004639364592730999,0.004639364592730999,2.8373746679738767,102.77546068361185
5000,500,10,H200,Enterprise,floating-point,1.605,0.0046604706440120935,0.00011872624357541402,0.0005199133108059565,0.02783253937959671,0.00532,0.165,0.000290470818678538,5.8094163735707605e-08,4.6075632174809776e-05,0.0006802253425121308,0.0006802253425121308,0.7919006374943991,10.830127913136009
5000,500,10,H200,Enterprise,fixed-point,1.605,0.05255666766315699,0.0034104585647583008,0.008230850100517273,0.02783253937959671,0.00532,0.165,0.00029011381169160205,5.802276233832041e-08,4.5643498500188194e-05,0.004639364592730999,0.004639364592730999,0.7919006374943991,11.166346653132361
5000,500,10,H200,DataCenter,floating-point,0.1605,0.0046604706440120935,0.00011872624357541402,0.0005199133108059565,0.02783253937959671,0.000532,0.0165,0.000290470818678538,5.8094163735707605e-08,4.6075632174809776e-05,0.0006802253425121308,0.0006802253425121308,0.4309953357704478,1.490858611412058
5000,500,10,H200,DataCenter,fixed-point,0.1605,0.05255666766315699,0.0034104585647583008,0.008230850100517273,0.02783253937959671,0.000532,0.0165,0.00029011381169160205,5.802276233832041e-08,4.5643498500188194e-05,0.004639364592730999,0.004639364592730999,0.4309953357704478,1.827077351408412
5000,500,10,NVIDIA H100,Residential,floating-point,16.03,0.008747416804544628,0.000181336576739947,0.0007872556646664938,0.0342055041808635,0.0332,1.6300000000000001,0.00035318608085314435,7.063721617062887e-08,7.217936217784882e-05,0.0008935805410146714,0.0008935805410146714,2.8373746679738767,102.47240838835418
5000,500,10,NVIDIA H100,Residential,fixed-point,16.03,0.058242901624180374,0.0038169659674167633,0.009141801546017328,0.0342055041808635,0.0332,1.6300000000000001,0.0003627917418877284,7.255834837754568e-08,5.804250637690226e-05,0.0019462842494249342,0.0019462842494249342,2.8373746679738767,102.8095920020186
5000,500,10,NVIDIA H100,Enterprise,floating-point,1.605,0.008747416804544628,0.000181336576739947,0.0007872556646664938,0.0342055041808635,0.00532,0.165,0.00035318608085314435,7.063721617062887e-08,7.217936217784882e-05,0.0008935805410146714,0.0008935805410146714,0.7919006374943991,10.863294357874713
5000,500,10,NVIDIA H100,Enterprise,fixed-point,1.605,0.058242901624180374,0.0038169659674167633,0.009141801546017328,0.0342055041808635,0.00532,0.165,0.0003627917418877284,7.255834837754568e-08,5.804250637690226e-05,0.0019462842494249342,0.0019462842494249342,0.7919006374943991,11.200477971539122
